prompt_id,prompt_text,extracted_brands,extracted_category,processing_time_secs
1,Are Samsung and LG making their media products more sustainable or energy-efficient?,Samsung (0.8) | LG (0.8),General,6.5839
2,Are there any upcoming deals or discounts on smart TVs from Samsung or Philips?,Samsung (0.8) | Philips (0.8),Electronics,4.987
3,Can you compare the smart features of Samsung Smart TVs and Sony Bravia?,Samsung (0.8) | Sony (0.8) | Bravia (0.4) | Smart TVs (0.4),Electronics,12.4927
4,Can you help me choose between Samsung’s The Frame and Sony’s A80L for a living room setup?,Samsung (0.8) | Sony (0.8) | A80L (0.4) | The Frame (0.4),General,11.6759
5,Can you help me write a script for a podcast episode on media literacy?,PBS (0.4) | NPR (0.4),Education,6.0211
6,Can you list the top-rated 4K projectors for home cinema from brands like Epson | LG or BenQ?,{brands} (0.4) | Epson (0.4) | BenQ (0.4) | LG (0.4),Electronics,10.8768
7,Can you summarize the most discussed topics in entertainment news this week?,HBO Max (0.4) | Netflix (0.4) | Disney+ (0.4),Entertainment,7.3723
8,How are augmented reality and virtual reality being used in media storytelling?,Walt Disney Company (0.4) | DreamWorks Animation (0.4) | Pixar Animation Studios (0.4) | Universal Pictures (0.4),General,9.324
9,How can we detect deepfakes and AI-generated misinformation in news media?,Twitter (0.4) | Facebook (0.4) | Google (0.4),General,7.5708
10,How do algorithms on platforms like YouTube and Netflix influence what people watch?,Netflix (0.4) | YouTube (0.4) | Google (0.0),General,9.058
